,Change,Total Count,Positive Count - Vader,Positive Rate - Vader,Negative Count - Vader,Negative Ratio - Vader,Positive Count - TextBlob,Positive Rate - TextBlob,Negative Count - TextBlob,Negative Ratio - TextBlob
05/16/21,0.002248251984079401,1086,438,0.4033,209,0.1924,448,0.4125,173,0.1593
05/16/21,0.3231096759735534,921,406,0.4408,196,0.2128,385,0.418,150,0.1629
05/16/21,-0.7404868577949232,1011,465,0.4599,201,0.1988,467,0.4619,144,0.1424
05/16/21,-2.963942851225957,1067,427,0.4002,240,0.2249,486,0.4555,166,0.1556
05/17/21,-4.8233897298901764,1086,422,0.3886,273,0.2514,425,0.3913,202,0.186
05/17/21,-0.5076074324414582,670,273,0.4075,139,0.2075,251,0.3746,110,0.1642
05/17/21,0.5497632010698638,1016,424,0.4173,245,0.2411,428,0.4213,175,0.1722
05/17/21,-0.5463106223355145,970,418,0.4309,231,0.2381,430,0.4433,169,0.1742
05/17/21,-5.14618103508813,1070,430,0.4019,254,0.2374,435,0.4065,187,0.1748
05/18/21,5.717715915059659,1059,436,0.4117,212,0.2002,457,0.4315,155,0.1464
05/18/21,-0.06050648788545604,1093,493,0.4511,215,0.1967,460,0.4209,158,0.1446
05/19/21,-15.917677776071267,888,355,0.3998,181,0.2038,323,0.3637,139,0.1565
05/19/21,-3.2091368063976584,1014,365,0.36,247,0.2436,370,0.3649,180,0.1775
05/19/21,-3.654482320466196,1037,390,0.3761,252,0.243,374,0.3607,183,0.1765
05/19/21,9.32481792605798,1100,441,0.4009,247,0.2245,383,0.3482,165,0.15
05/20/21,-4.972031508213301,986,394,0.3996,209,0.212,391,0.3966,140,0.142
05/20/21,2.3781654588388528,933,363,0.3891,205,0.2197,347,0.3719,148,0.1586
05/20/21,1.7966825094581966,1046,450,0.4302,225,0.2151,433,0.414,163,0.1558
05/20/21,3.894351077574834,998,441,0.4419,205,0.2054,415,0.4158,150,0.1503
05/21/21,-2.3523454629474863,975,456,0.4677,174,0.1785,419,0.4297,142,0.1456
05/21/21,-7.814702920443108,1077,386,0.3584,299,0.2776,406,0.377,220,0.2043
05/22/21,-2.83284960961452,915,420,0.459,181,0.1978,378,0.4131,126,0.1377
05/24/21,-0.10584984054322497,965,428,0.4435,197,0.2041,418,0.4332,146,0.1513
05/24/21,4.258964694943114,1043,412,0.395,196,0.1879,449,0.4305,131,0.1256
06/10/21,-0.39227305980854615,1024,462,0.4512,205,0.2002,434,0.4238,148,0.1445
06/10/21,-1.2007684918347743,1104,528,0.4783,189,0.1712,495,0.4484,166,0.1504
06/11/21,-2.29763992420827,1050,479,0.4562,183,0.1743,450,0.4286,148,0.141
06/11/21,1.0159636069529383,994,431,0.4336,198,0.1992,422,0.4245,129,0.1298
06/11/21,-0.03601908473893275,1006,473,0.4702,169,0.168,424,0.4215,138,0.1372
06/12/21,-2.382151476873367,1084,465,0.429,218,0.2011,466,0.4299,150,0.1384
06/12/21,-1.004011040785876,866,370,0.4273,144,0.1663,329,0.3799,108,0.1247
06/12/21,-1.3999830885876068,1100,483,0.4391,183,0.1664,481,0.4373,156,0.1418
06/13/21,1.101351671540188,1034,485,0.4691,183,0.177,499,0.4826,130,0.1257
06/14/21,7.636913206128697,1020,464,0.4549,162,0.1588,446,0.4373,123,0.1206
06/14/21,0.8766377941904562,997,466,0.4674,174,0.1745,417,0.4183,123,0.1234
06/15/21,2.742214919356829,1103,517,0.4687,190,0.1723,467,0.4234,154,0.1396
09/12/21,12.277829187306082,993,477,0.4804,149,0.1501,466,0.4693,116,0.1168
